# topologyType=                  grid
# topologyDegree=                
# linkDatarateBps=               10000000000
# linkDelayUs=                   100
# activateFailure=               1
# activatePhyFailDetect=         1
# linkFailureTimeUs=             3000000
# stpMode=                       5
# randomBridgeIds=               1
# xstpSimulationTimeSecs=        50
# xstpActivatePeriodicalBpdus=   1
# xstpActivateExpirationMaxAge=  1
# xstpActivateIncreaseMessAge=   1
# xstpMaxAge=                    20
# xstpHelloTime=                 2
# xstpForwDelay=                 15
# xstpResetTxHoldPeriod=         1
# activateRandBridgeInit=        0

# Id:  Execution Id
# Nod: Number of nodes
# FlA: Node A to fail
# FlB: Node B to fail
# FrR: Node forced as root (bridge id set to 0)
# Prt: Number of ports (square of the number of links)
# HlP: TxHold period
# HlC: Maximum Number of BPDUs to be send per TxHold period
# Snd: Total Send BPDUs
# Hld: Hold BPDUs that had to be sent
# Rcv: Total Received BPDUs
# Cnf: Total Received BPDUconfs
# RBD: Better BPDU received (from Designated in RSTP)
# RWD: Worse BPDU received (from Designated in RSTP)
# RED: Equal BPDU received (from Designated in RSTP)
# RDA: Discrded agreement because it is about a different Root
# RWA: Equal BPDU with Agreement received (only RSTP, from Root/Alternate)
# ACT1: Algorithm convergence Time (STP: last better BPDU) (RSTP: last better BPDU or last agreement) before failure
# PCT1: Protocol convergence time (last port transition to forwarding) before failure
# Fai: Time when link fails
# Snd: Total Send BPDUs (after failure)
# Hld: Hold BPDUs that had to be sent (after failure)
# Rcv: Total Received BPDUs (after failure)
# Cnf: Total Received BPDUconfs (after failure)
# RBD: Better BPDU received from Designated (after failure)
# RWD: Worse BPDU received from Designated (after failure)
# RED: Equal BPDU received from Designated (after failure)
# RDA: Discrded agreement because it is about a different Root (after failure)
# RWA: Equal BPDU with Agreement received from Root/Alternate (after failure)
# MAf: First expiration of Message Age
# MAl: Last expiration of Message Age
# ACT2: Algorithm convergence Time (RSTP: last better BPDU or last agreement) after last mess age expiration
# PCT2: Protocol convergence time (last port transition to forwarding) after last mess age expiration
# ACT3: Algorithm convergence Time (RSTP: last better BPDU or last agreement) after failure
# PCT3: Protocol convergence time (last port transition to forwarding) after failure

#Id	Nod	FlA	FlB	FrR	Prt	HlP	HlC	Snd	Hld	Rcv	Cnf	RBD	RWD	RED	RWA	RDA	ACT1	PCT1	Fai	Snd	Hld	Rcv	Cnf	RBD	RWD	RED	RWA	RDA	MAf	MAl	ACT2	PCT2	ACT3	PCT3
 0	 4	 0	-1	 0	 8	1	1000000	26	 0	24	 0	 5	 8	 5	 5	 1	0.0002	0.0003	3.0	11	 0	10	 4	 3	 2	 2	 2	 1	0.0000	0.0000	0.0000	0.0000	0.0004	0.0005
 0	 4	 1	-1	 1	 8	1	1000000	25	 0	24	 0	 4	 9	 6	 5	 0	0.0002	0.0003	3.0	 9	 0	 6	 4	 2	 2	 0	 2	 0	0.0000	0.0000	0.0000	0.0000	0.0002	0.0003
 0	 4	 2	-1	 2	 8	1	1000000	27	 0	26	 0	 6	 8	 6	 4	 2	0.0002	0.0003	3.0	11	 0	10	 4	 3	 2	 2	 2	 1	0.0000	0.0000	0.0000	0.0000	0.0004	0.0005
 0	 4	 3	-1	 3	 8	1	1000000	28	 0	27	 0	 6	 9	 6	 6	 0	0.0002	0.0003	3.0	 9	 0	 6	 4	 2	 2	 0	 2	 0	0.0000	0.0000	0.0000	0.0000	0.0002	0.0003
 0	 9	 0	-1	 0	24	1	1000000	127	 0	126	 0	19	50	36	16	 5	0.0004	0.0005	3.0	112	 0	108	26	21	39	25	18	 5	0.0000	0.0000	0.0000	0.0000	0.0006	0.0007
 0	 9	 1	-1	 1	24	1	1000000	103	 0	100	 0	19	35	26	13	 7	0.0003	0.0004	3.0	85	 0	81	33	19	25	18	16	 3	0.0000	0.0000	0.0000	0.0000	0.0008	0.0009
 0	 9	 2	-1	 2	24	1	1000000	136	 0	133	 0	21	53	36	16	 7	0.0004	0.0005	3.0	127	 0	123	26	22	48	30	13	10	0.0000	0.0000	0.0000	0.0000	0.0007	0.0008
 0	 9	 3	-1	 3	24	1	1000000	114	 0	111	 0	18	44	30	15	 4	0.0003	0.0004	3.0	93	 0	89	33	17	31	22	14	 5	0.0000	0.0000	0.0000	0.0000	0.0008	0.0009
 0	 9	 4	-1	 4	24	1	1000000	90	 0	84	 0	17	31	18	13	 5	0.0002	0.0003	3.0	72	 0	65	36	14	23	14	12	 2	0.0000	0.0000	0.0000	0.0000	0.0008	0.0009
 0	 9	 5	-1	 5	24	1	1000000	111	 0	108	 0	18	43	27	16	 4	0.0003	0.0004	3.0	83	 0	80	33	19	22	19	14	 6	0.0000	0.0000	0.0000	0.0000	0.0008	0.0009
 0	 9	 6	-1	 6	24	1	1000000	130	 0	129	 0	25	41	35	18	10	0.0004	0.0005	3.0	85	 0	81	26	13	33	21	13	 1	0.0000	0.0000	0.0000	0.0000	0.0005	0.0006
